date,value
2024-01-13,623.0
2024-01-14,698.5
2024-01-15,360.5
2024-01-16,328.5
2024-01-17,392.5
2024-01-18,378.0
2024-01-19,336.0
2024-01-20,712.5
2024-01-21,685.0
2024-01-22,305.5
2024-01-23,346.0
2024-01-24,325.5
2024-01-25,343.0
2024-01-26,354.0
2024-01-27,676.0
2024-01-28,766.5
2024-01-29,298.5
2024-01-30,338.0
2024-01-31,336.5
2024-02-01,315.0
2024-02-02,370.0
2024-02-03,748.5
2024-02-04,664.5
2024-02-05,289.0
2024-02-06,266.0
2024-02-07,325.0
2024-02-08,315.5
2024-02-09,361.0
2024-02-10,799.0
2024-02-11,809.5
2024-02-12,367.5
2024-02-13,373.0
2024-02-14,446.5
2024-02-15,432.0
2024-02-16,375.0
2024-02-17,831.0
2024-02-18,755.5
2024-02-19,277.0
2024-02-20,366.5
2024-02-21,404.0
2024-02-22,426.5
2024-02-23,733.5
2024-02-24,797.0
2024-02-25,784.5
2024-02-26,295.5
2024-02-27,372.0
2024-02-28,379.0
2024-02-29,347.5
2024-03-01,437.5
2024-03-02,999.5
2024-03-03,884.5
2024-03-04,335.0
2024-03-05,409.0
2024-03-06,434.0
2024-03-07,555.5
2024-03-08,987.0
2024-03-09,1036.5
2024-03-10,947.0
2024-03-11,395.0
2024-03-12,412.0
2024-03-13,398.0
2024-03-14,348.0
2024-03-15,414.5
2024-03-16,829.0
2024-03-17,776.5
2024-03-18,372.0
2024-03-19,410.5
2024-03-20,394.0
2024-03-21,404.5
2024-03-22,531.0
2024-03-23,769.5
2024-03-24,796.0
2024-03-25,433.0
2024-03-26,384.0
2024-03-27,482.5
2024-03-28,467.0
2024-03-29,514.0
2024-03-30,762.0
2024-03-31,955.0
2024-04-01,426.0
2024-04-02,513.0
2024-04-03,448.5
2024-04-04,516.5
2024-04-05,486.0
2024-04-06,920.5
2024-04-07,1137.0
2024-04-08,485.5
2024-04-09,492.5
2024-04-10,528.0
2024-04-11,480.5
2024-04-12,554.0
2024-04-13,872.0
2024-04-14,960.5
2024-04-15,464.0
2024-04-16,494.0
2024-04-17,535.0
2024-04-18,593.5
2024-04-19,589.5
2024-04-20,856.5
2024-04-21,1026.0
2024-04-22,466.5
2024-04-23,428.0
2024-04-24,449.0
2024-04-25,523.0
2024-04-26,577.0
2024-04-27,705.0
2024-04-28,1372.0
2024-04-29,877.0
2024-04-30,855.5
2024-05-01,827.5
2024-05-02,356.0
2024-05-03,415.5
2024-05-04,599.0
2024-05-05,771.0
2024-05-06,383.0
2024-05-07,436.5
2024-05-08,487.0
2024-05-09,724.5
2024-05-10,873.0
2024-05-11,778.0
2024-05-12,732.0
2024-05-13,384.5
2024-05-14,670.0
2024-05-15,469.5
2024-05-16,472.0
2024-05-17,370.5
2024-05-18,771.5
2024-05-19,1003.5
2024-05-20,393.0
2024-05-21,552.0
2024-05-22,532.5
2024-05-23,611.5
2024-05-24,617.0
2024-05-25,969.0
2024-05-26,917.0
2024-05-27,474.0
2024-05-28,516.0
2024-05-29,514.0
2024-05-30,450.5
2024-05-31,561.5
2024-06-01,1146.0
2024-06-02,1145.5
2024-06-03,689.0
2024-06-04,621.0
2024-06-05,638.0
2024-06-06,631.5
2024-06-07,819.5
2024-06-08,1084.5
2024-06-09,1057.0
2024-06-10,623.5
2024-06-11,659.5
2024-06-12,1095.5
2024-06-13,634.5
2024-06-14,749.5
2024-06-15,1158.0
2024-06-16,1202.5
2024-06-17,616.5
2024-06-18,565.0
2024-06-19,565.0
2024-06-20,583.5
2024-06-21,601.5
2024-06-22,913.5
2024-06-23,1016.0
2024-06-24,467.0
2024-06-25,531.5
2024-06-26,561.0
2024-06-27,606.5
2024-06-28,610.5
2024-06-29,766.0
2024-06-30,934.5
2024-07-01,451.0
2024-07-02,521.5
2024-07-03,543.0
2024-07-04,512.5
2024-07-05,614.0
2024-07-06,931.5
2024-07-07,765.5
2024-07-08,491.0
2024-07-09,461.5
2024-07-10,563.5
2024-07-11,476.5
2024-07-12,598.0
2024-07-13,892.0
2024-07-14,874.5
2024-07-15,503.0
2024-07-16,556.5
2024-07-17,429.0
2024-07-18,587.5
2024-07-19,467.5
2024-07-20,824.0
2024-07-21,1035.5
2024-07-22,454.0
2024-07-23,496.0
2024-07-24,543.0
2024-07-25,535.0
2024-07-26,518.0
2024-07-27,948.5
2024-07-28,807.5
2024-07-29,468.0
2024-07-30,435.0
2024-07-31,572.0
