value,date
114.0,2023-12-19
221.0,2023-12-20
173.0,2023-12-21
250.0,2023-12-22
663.0,2023-12-23
675.0,2023-12-24
182.0,2023-12-25
231.0,2023-12-26
258.0,2023-12-27
244.0,2023-12-28
333.0,2023-12-29
576.0,2023-12-30
204.0,2023-12-31
238.0,2024-01-01
666.0,2024-01-02
506.0,2024-01-03
543.0,2024-01-04
599.0,2024-01-05
588.0,2024-01-06
453.0,2024-01-07
444.0,2024-01-08
128.0,2024-01-09
98.0,2024-01-10
139.0,2024-01-11
140.0,2024-01-12
440.0,2024-01-13
439.0,2024-01-14
113.0,2024-01-15
132.0,2024-01-16
140.0,2024-01-17
96.0,2024-01-18
123.0,2024-01-19
599.0,2024-01-20
588.0,2024-01-21
114.0,2024-01-22
134.0,2024-01-23
139.0,2024-01-24
129.0,2024-01-25
168.0,2024-01-26
619.0,2024-01-27
565.0,2024-01-28
157.0,2024-01-29
146.0,2024-01-30
170.0,2024-01-31
152.0,2024-02-01
198.0,2024-02-02
717.0,2024-02-03
590.0,2024-02-04
131.0,2024-02-05
162.0,2024-02-06
98.0,2024-02-07
154.0,2024-02-08
143.0,2024-02-09
647.0,2024-02-10
573.0,2024-02-11
109.0,2024-02-12
139.0,2024-02-13
136.0,2024-02-14
90.0,2024-02-15
166.0,2024-02-16
674.0,2024-02-17
548.0,2024-02-18
154.0,2024-02-19
140.0,2024-02-20
210.0,2024-02-21
238.0,2024-02-22
658.0,2024-02-23
700.0,2024-02-24
627.0,2024-02-25
121.0,2024-02-26
146.0,2024-02-27
165.0,2024-02-28
186.0,2024-02-29
204.0,2024-03-01
963.0,2024-03-02
1045.0,2024-03-03
226.0,2024-03-04
219.0,2024-03-05
185.0,2024-03-06
291.0,2024-03-07
1043.0,2024-03-08
1072.0,2024-03-09
787.0,2024-03-10
172.0,2024-03-11
176.0,2024-03-12
206.0,2024-03-13
241.0,2024-03-14
281.0,2024-03-15
933.0,2024-03-16
818.0,2024-03-17
135.0,2024-03-18
153.0,2024-03-19
242.0,2024-03-20
238.0,2024-03-21
305.0,2024-03-22
